@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
344,'2019/05/25 17:51:09:022',10,541.704102,427.442902,42.086685,477.05484,441.58313,64.985519,412.564941,445.188354,69.001709,362.451385,443.177887,67.908401,293.769043,449.409607,63.125362,0.749879,364.254852,61
345,'2019/05/25 17:51:09:071',10,542.655579,427.193481,42.232445,478.11795,440.953644,65.169472,413.303772,444.654449,69.194626,363.265656,442.652374,68.090385,294.268738,448.784088,63.299213,0.749879,364.254852,61
346,'2019/05/25 17:51:09:121',10,543.81427,427.093689,42.452869,479.344513,440.600342,65.406334,414.301514,444.33847,69.437675,364.378632,442.306458,68.329643,295.195648,448.264679,63.536674,0.749879,364.254852,61
347,'2019/05/25 17:51:09:170',10,545.070435,427.080719,42.814678,480.302521,440.478577,65.755974,415.066772,443.863007,69.790802,365.198853,441.622803,68.676292,295.945404,447.376251,63.868,0.749879,364.254852,61
348,'2019/05/25 17:51:09:220',10,546.776917,425.675079,43.761116,481.691437,439.844299,66.643982,416.129303,443.090271,70.680222,366.49115,440.895782,69.556244,297.089203,446.220062,64.715843,0.749879,364.254852,61
349,'2019/05/25 17:51:09:270',10,548.607483,423.689209,44.548431,483.978638,438.411194,67.360725,417.969391,442.935211,71.399788,368.371765,440.516693,70.298592,299.427643,446.203735,65.417908,0.749879,364.254852,61
350,'2019/05/25 17:51:09:320',10,556.097961,422.391724,45.415768,493.546631,436.733673,68.225891,427.601135,440.107025,72.412178,377.869537,437.274078,71.38871,308.531616,442.856659,66.584526,0.749879,364.254852,61
351,'2019/05/25 17:51:09:370',10,570.339478,421.99646,45.803375,511.743958,432.640167,68.893982,446.513763,434.327545,73.315536,396.654816,429.265991,72.450249,325.725281,434.500122,67.889641,0.749879,364.254852,61
352,'2019/05/25 17:51:09:420',10,582.815125,419.404785,45.97662,526.721619,430.439392,69.144333,461.934692,432.568237,73.658913,411.917389,427.838989,72.863609,340.437347,433.331024,68.402321,0.749879,364.254852,61
353,'2019/05/25 17:51:09:470',10,602.15448,416.542175,45.886131,549.743042,428.576569,69.154091,485.63559,430.782379,73.825035,435.741211,426.035431,73.166267,363.435974,431.035614,68.867584,0.749879,364.254852,61
354,'2019/05/25 17:51:09:519',10,620.625244,414.440735,45.19812,572.462158,425.906494,68.640884,509.218445,428.111938,73.500069,459.555176,423.704956,72.974228,386.330322,428.387146,68.890961,0.749879,364.254852,61
355,'2019/05/25 17:51:09:569',10,639.238403,412.349365,44.68829,595.065796,423.875793,68.293304,532.611633,425.888245,73.336395,483.226318,422.517639,72.915146,409.193512,427.135803,69.018082,0.749879,364.254852,61
356,'2019/05/25 17:51:09:620',10,651.380249,409.978546,44.266739,607.107056,422.26947,67.852112,544.642212,424.259308,72.894386,495.256775,421.825806,72.452606,421.280945,426.426697,68.529625,0.749879,364.254852,61
357,'2019/05/25 17:51:09:670',10,657.339539,409.670715,44.022854,614.138733,421.69928,67.65889,551.911133,423.817169,72.743362,502.36087,421.856384,72.324081,428.25,426.35849,68.440643,0.749879,364.254852,61
358,'2019/05/25 17:51:09:719',10,657.022644,410.475189,44.00819,613.444946,422.056274,67.725296,551.111694,424.226959,72.802216,501.489746,422.263367,72.373657,427.350952,426.619843,68.471062,0.749879,364.254852,61
359,'2019/05/25 17:51:09:768',10,639.234253,415.126953,44.732216,592.024963,426.094116,68.465302,528.979797,427.947876,73.411377,479.436737,425.702942,72.878166,405.545807,429.639801,68.815857,0.749879,364.254852,61
360,'2019/05/25 17:51:09:820',10,624.443115,417.098969,45.237793,573.125977,428.094971,68.881531,509.260925,429.973907,73.659996,459.788544,427.680786,72.997009,386.563354,431.683105,68.736221,0.749879,364.254852,61
361,'2019/05/25 17:51:09:868',10,601.070435,419.96759,46.397839,541.753052,430.342102,69.817924,476.161041,432.093323,74.264107,426.89505,429.638306,73.337395,355.019714,433.715881,68.695656,0.749879,364.254852,61
362,'2019/05/25 17:51:09:921',10,572.444092,423.83255,47.742588,503.106689,435.202759,70.740822,435.356689,436.516907,74.761047,386.577179,433.657654,73.520233,316.531647,437.347046,68.39183,0.749879,364.254852,61
363,'2019/05/25 17:51:09:969',10,539.601685,426.796722,49.276058,458.783997,438.054871,71.667213,388.623077,439.732147,75.129196,340.622986,435.760498,73.53759,273.336853,439.321198,67.862511,0.749879,364.254852,61
364,'2019/05/25 17:51:10:019',10,522.827209,427.205566,50.183292,434.814545,439.095032,72.11377,363.276123,440.794464,75.209831,315.689819,435.936035,73.403053,250.466721,439.349091,67.385017,0.749879,364.254852,61
365,'2019/05/25 17:51:10:069',10,505.861664,427.585144,51.091976,410.405945,439.460419,72.573624,337.496307,440.459686,75.311859,290.280853,434.555908,73.280571,227.428238,437.62796,66.936554,0.749879,364.254852,61
366,'2019/05/25 17:51:10:118',10,499.10083,426.359314,51.328697,400.995483,438.592987,72.742889,327.698364,439.385071,75.367088,280.7341,433.429565,73.269173,218.530502,436.00589,66.824829,0.749879,364.254852,61
