@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2019/05/26 17:35:39:430',1,530.710449,407.14502,49.442432,429.407318,407.974884,68.253883,396.027496,406.228088,70.905197,363.885437,405.491486,68.721901,318.327454,399.140656,63.333519,0,0,223.946823,2.31798,12.424212,4.091879,0,500,150
2,'2019/05/26 17:35:39:486',1,530.755493,407.135864,49.43766,429.460907,407.975128,68.249695,396.047089,406.279053,70.898209,363.907166,405.53891,68.7146,318.307587,399.19165,63.327873,0,0,223.239487,2.272069,12.451624,4.072573,0,500,150
3,'2019/05/26 17:35:39:534',1,530.799316,407.186066,49.43639,429.522125,408.020294,68.246063,396.029114,406.313141,70.893867,363.90509,405.576752,68.709381,318.262329,399.213196,63.324066,0,0,222.577347,2.229985,12.469842,4.052028,0,500,150
4,'2019/05/26 17:35:39:586',1,530.998169,407.259857,49.416466,429.525818,408.039001,68.242271,395.972168,406.314972,70.888809,363.833771,405.567078,68.703308,318.180023,399.306274,63.31752,0,0,222.428589,2.180475,12.490944,4.017587,0,500,150
5,'2019/05/26 17:35:39:639',1,531.065125,407.253479,49.41301,429.492798,408.054688,68.241318,395.931213,406.335327,70.886078,363.760864,405.558533,68.700531,318.102692,399.319305,63.313362,0,0,221.878693,2.137094,12.510783,3.986732,0,500,150
6,'2019/05/26 17:35:39:696',1,531.074707,407.240173,49.415604,429.470398,408.060608,68.239403,395.875458,406.34198,70.882637,363.703735,405.552094,68.696426,318.0112,399.314301,63.308327,0,0,221.391678,2.0879,12.533666,3.95586,0,500,150
7,'2019/05/26 17:35:39:752',1,531.120483,407.234131,49.414322,429.455383,408.088898,68.238777,395.794769,406.346313,70.881554,363.654724,405.576813,68.693146,317.931488,399.362579,63.305275,0,0,220.813065,2.034382,12.550591,3.92233,0,500,150
8,'2019/05/26 17:35:39:803',1,530.969849,407.276184,49.438148,429.352631,408.091095,68.234375,395.608887,406.301086,70.87606,363.490173,405.572754,68.684761,317.758301,399.409424,63.295422,0,0,220.312744,1.926167,12.619767,3.864314,0,500,150
9,'2019/05/26 17:35:39:858',1,530.958252,407.012756,49.421883,429.13559,407.948578,68.226242,395.376038,406.204041,70.865997,363.270294,405.5177,68.673035,317.48642,399.392395,63.283276,0,0,219.563187,1.718998,12.651608,3.791584,0,500,150
10,'2019/05/26 17:35:39:912',1,531.126343,406.773773,49.395187,428.930542,407.860168,68.222984,395.154907,406.10202,70.861595,363.069,405.487518,68.664589,317.275391,399.378662,63.273067,0,0,218.557129,1.560165,12.673569,3.714222,0,500,150
11,'2019/05/26 17:35:39:967',1,531.241821,406.618317,49.380383,428.77536,407.83606,68.215836,395.008911,405.984192,70.854233,362.9599,405.463226,68.651138,317.163757,399.414246,63.257977,0,0,217.455551,1.46421,12.716708,3.642962,0,500,150
12,'2019/05/26 17:35:40:022',1,531.299744,406.542328,49.376324,428.713013,407.78009,68.212868,394.983276,405.907501,70.849792,362.922119,405.420715,68.643906,317.141388,399.369598,63.248993,0,0,217.03157,1.425564,12.744386,3.607522,0,500,150
13,'2019/05/26 17:35:40:077',1,531.312744,406.449707,49.377575,428.629944,407.707672,68.21106,394.96402,405.843323,70.8451,362.848572,405.359711,68.637451,317.109467,399.323486,63.23978,0,0,216.672745,1.389786,12.770749,3.567847,0,500,150
14,'2019/05/26 17:35:40:132',1,531.406189,406.219971,49.367256,428.502808,407.561493,68.207268,394.86972,405.728607,70.837387,362.719177,405.255188,68.627174,317.043579,399.245483,63.225052,0,0,216.254669,1.312588,12.793513,3.50495,0,500,150
15,'2019/05/26 17:35:40:183',1,531.428162,406.018036,49.368488,428.301971,407.495941,68.204117,394.707062,405.605774,70.831833,362.486511,405.144043,68.617683,316.891815,399.147766,63.209839,0,0,215.808701,1.26165,12.793994,3.42919,0,500,150
16,'2019/05/26 17:35:40:240',1,531.512878,405.951843,49.361744,428.13269,407.481873,68.206161,394.612457,405.561005,70.832108,362.341339,405.116272,68.614685,316.801208,399.083008,63.203934,0,0,215.683578,1.266463,12.766068,3.389636,0,500,150
17,'2019/05/26 17:35:58:037',2,379.432251,287.358276,46.337723,368.072784,311.979919,67.034058,375.341919,342.63446,71.423386,367.722412,357.22348,70.344353,361.474915,374.410187,65.683838,0,0,66.652565,-89.284523,17.088448,-4.606195,150,500,150
18,'2019/05/26 17:35:58:089',2,379.379425,287.208771,46.301731,367.727295,310.678528,66.980476,374.904602,341.383606,71.458794,367.667328,356.923645,70.437553,361.024536,373.843628,65.788803,0,0,61.915016,-89.286171,17.463058,-4.761528,150,500,150
19,'2019/05/26 17:35:58:143',2,379.593414,287.119446,46.2701,367.334473,309.628357,66.918167,375.211731,340.143921,71.450211,367.54715,356.794769,70.496727,360.605682,373.545288,65.857033,0,0,53.807789,-89.288658,17.72966,-5.013588,150,500,150
20,'2019/05/26 17:35:58:200',2,379.623627,287.098145,46.262333,367.429382,309.172913,66.884636,375.897491,339.542908,71.428474,367.453888,356.817413,70.514862,360.468506,373.495697,65.875885,0,0,50.270679,-89.277954,17.795103,-5.064843,150,500,150
21,'2019/05/26 17:35:58:256',2,380.014313,287.08197,46.24733,367.311554,308.727295,66.84713,375.730713,338.927643,71.414131,367.291077,356.789185,70.531708,360.058289,373.385132,65.894066,0,0,49.494293,-89.2845,17.912664,-5.370131,150,500,150
22,'2019/05/26 17:35:58:311',2,380.005493,287.103058,46.235264,367.461029,308.301819,66.806381,375.494781,338.503784,71.404068,367.632019,356.81958,70.542343,359.963776,373.400055,65.913307,0,0,52.09407,-89.323273,17.989349,-5.530406,150,500,150
23,'2019/05/26 17:35:58:365',2,380.111206,287.117584,46.228992,367.416077,308.164185,66.793526,375.298828,338.356628,71.403442,367.513092,356.779724,70.548225,359.978851,373.3526,65.921532,0,0,53.290539,-89.321037,18.038046,-5.629107,150,500,150
24,'2019/05/26 17:35:58:417',2,382.108795,287.10556,46.230927,367.418304,307.764099,66.772354,374.293274,337.865265,71.410637,366.811798,356.6203,70.566299,359.504608,373.081299,65.939903,0,0,55.755718,-88.75415,18.20681,-6.000739,150,500,150
25,'2019/05/26 17:35:58:471',2,383.826782,287.059143,46.262238,367.562744,307.581696,66.780807,373.75708,337.659302,71.424171,366.550507,356.61319,70.578026,359.180756,373.021423,65.9515,0,0,56.11488,-88.206039,18.240408,-6.16167,150,500,150
26,'2019/05/26 17:35:58:524',2,385.705597,286.938049,46.281605,367.729065,307.308716,66.776649,373.249573,337.313049,71.423111,366.037872,356.538269,70.580696,359.15155,372.840393,65.950562,0,0,55.965488,-87.624474,18.2876,-6.342409,150,500,150
27,'2019/05/26 17:35:58:574',2,386.703217,286.810272,46.279705,367.889709,307.092834,66.766357,372.856873,336.906555,71.411774,365.819702,356.399353,70.576889,358.92749,372.669373,65.94603,0,0,54.004875,-87.341927,18.33358,-6.440254,150,500,150
28,'2019/05/26 17:35:58:630',2,387.415985,286.714661,46.275692,368.066315,306.939606,66.757477,372.669495,336.618011,71.400658,365.717957,356.302551,70.571396,358.882538,372.550751,65.940842,0,0,52.55838,-87.121361,18.361155,-6.466561,150,500,150
29,'2019/05/26 17:35:58:686',2,387.977112,286.649292,46.285004,368.212158,306.874695,66.760048,372.418549,336.431396,71.397179,365.645386,356.290497,70.569336,358.939819,372.551544,65.940353,0,0,51.119316,-86.940453,18.349304,-6.479969,150,500,150
30,'2019/05/26 17:35:58:738',2,388.489594,286.57547,46.282715,368.157013,306.796967,66.749962,372.04068,336.253174,71.382484,365.468628,356.26532,70.555161,358.86795,372.538788,65.927216,0,0,49.943569,-86.77066,18.341053,-6.525146,150,500,150
31,'2019/05/26 17:35:58:792',2,388.895203,286.512573,46.289635,367.827087,306.73288,66.750687,371.76416,336.065643,71.376694,365.382324,356.249512,70.552032,358.789612,372.562317,65.927498,0,0,49.336098,-86.622597,18.332506,-6.549911,150,500,150
32,'2019/05/26 17:35:58:841',2,389.211487,286.475037,46.296764,367.629852,306.710693,66.754791,371.550964,335.939026,71.374901,365.336151,356.249847,70.551483,358.85611,372.581482,65.928719,0,0,49.765709,-86.501755,18.321053,-6.539452,150,500,150
33,'2019/05/26 17:35:58:893',2,389.415649,286.449829,46.302238,367.383087,306.673798,66.757332,371.328766,335.829163,71.375702,365.281555,356.289978,70.556396,358.967773,372.598846,65.933464,0,0,51.430878,-86.41964,18.3179,-6.527745,150,500,150
34,'2019/05/26 17:35:58:947',2,389.461853,286.438354,46.307472,367.146759,306.665863,66.760559,371.194275,335.781982,71.37748,365.15802,356.387573,70.564087,358.875092,372.686218,65.940643,0,0,54.248932,-86.388954,18.307827,-6.514611,150,500,150
35,'2019/05/26 17:35:59:007',2,389.517975,286.426514,46.308697,366.963989,306.65036,66.760712,370.851532,335.6875,71.377014,365.153687,356.450623,70.567726,358.878479,372.731354,65.944328,0,0,58.799366,-86.364067,18.303291,-6.49771,150,500,150
36,'2019/05/26 17:35:59:051',2,389.579803,286.422729,46.308281,366.927795,306.640778,66.760269,370.694977,335.655579,71.377403,365.120605,356.49585,70.57048,358.890869,372.758789,65.946556,0,0,62.103966,-86.34037,18.303377,-6.4787,150,500,150
37,'2019/05/26 17:35:59:106',2,389.68454,286.409454,46.306046,366.672699,306.615631,66.759125,370.230835,335.542542,71.377541,365.049988,356.547119,70.575806,358.90567,372.817444,65.953903,0,0,70.460228,-86.30677,18.313276,-6.460979,150,500,150
38,'2019/05/26 17:35:59:159',2,389.850555,286.398651,46.306873,366.558228,306.615204,66.761421,370.08197,335.490997,71.378471,365.076935,356.530548,70.576645,358.934387,372.810669,65.955894,0,0,73.429443,-86.25518,18.318798,-6.450601,150,500,150
39,'2019/05/26 17:35:59:213',2,390.266998,286.387207,46.308868,366.672821,306.620361,66.762901,370.132294,335.471252,71.376488,365.123291,356.524139,70.573059,358.922272,372.806702,65.952087,0,0,75.013519,-86.121452,18.315733,-6.421463,150,500,150
40,'2019/05/26 17:35:59:266',2,390.554413,286.382446,46.311852,366.703857,306.646973,66.765327,370.171844,335.473022,71.374588,365.168335,356.559631,70.570251,358.937378,372.820404,65.94738,0,0,76.884384,-86.022156,18.301996,-6.388424,150,500,150
41,'2019/05/26 17:35:59:320',2,391.226532,286.501373,46.299973,367.081757,306.812134,66.753754,370.339233,335.550873,71.352951,365.323608,356.738342,70.548515,358.991333,373.443115,65.952385,0,0,83.329376,-85.780991,18.27276,-6.252514,150,500,150
42,'2019/05/26 17:36:26:228',3,536.639343,303.740479,49.570477,394.65274,240.739655,52.836967,352.0354,236.328949,52.162926,377.641846,361.620605,59.111267,351.546265,357.270325,57.92416,0,0,62.239216,21.903019,77.281532,-54.914932,0.747192,1000,150
43,'2019/05/26 17:36:26:281',3,533.526184,303.349854,49.258156,392.419983,240.226685,52.194748,349.840973,235.844604,51.487385,375.028381,360.613342,59.02359,348.964203,356.339203,57.808037,0,0,62.143421,23.958971,78.393517,-57.260109,0.747192,1000,150
44,'2019/05/26 17:36:26:339',3,530.944336,303.158569,49.140629,390.937073,239.979828,51.889324,348.416199,235.556,51.157272,372.712921,360.204529,58.862244,346.705566,355.921509,57.629078,0,0,62.006382,25.284399,78.757317,-57.907112,0.747192,1000,150
45,'2019/05/26 17:36:26:392',3,529.710876,303.294983,49.225311,391.689423,239.855682,52.257023,349.248444,235.190033,51.558582,371.426025,360.456696,58.718163,345.471375,355.972595,57.511997,0,0,61.893734,23.739756,77.759583,-54.807323,0.747192,1000,150
46,'2019/05/26 17:36:26:444',3,528.79718,303.384705,49.307701,392.991882,239.989655,53.063229,350.550903,235.089874,52.487759,371.699463,361.201233,58.708351,345.657837,356.486389,57.588913,0,0,61.803802,18.943321,75.88549,-49.788132,0.747192,1000,150
47,'2019/05/26 17:36:26:501',3,528.076477,303.40625,49.314583,393.930511,240.123352,53.593567,351.511841,235.073029,53.098633,371.840698,361.684021,58.697754,345.753235,356.82016,57.635292,0,0,61.80344,16.217329,74.662376,-46.639359,0.747192,1000,150
48,'2019/05/26 17:36:26:554',3,527.806885,303.404785,49.316029,394.298157,240.18219,53.790676,351.894684,235.076477,53.325451,371.885345,361.861847,58.693146,345.783081,356.943115,57.651657,0,0,61.803688,15.285625,74.210609,-45.503345,0.747192,1000,150
49,'2019/05/26 17:36:26:610',3,527.577026,303.380554,49.301998,394.567322,240.227051,53.93111,352.177948,235.082062,53.486908,371.914612,361.987946,58.689709,345.802551,357.030334,57.663002,0,0,61.81213,14.648026,73.89006,-44.706367,0.747192,1000,150
50,'2019/05/26 17:36:26:661',3,525.609009,306.037415,49.161972,402.931824,244.273132,55.542904,360.82135,238.42865,55.282848,373.807343,366.667511,58.329178,347.861908,361.08313,57.446716,0,0,61.453209,11.13651,69.967865,-34.995167,0.747192,1000,150
51,'2019/05/26 17:36:26:716',3,524.995239,306.309204,49.12389,404.292297,244.97113,55.802006,362.239807,239.018311,55.571262,374.083038,367.410583,58.268139,348.171173,361.728546,57.408772,0,0,61.405491,10.735605,69.340736,-33.585724,0.747192,1000,150
52,'2019/05/26 17:36:26:768',3,526.223145,313.558777,49.192425,414.271423,256.478882,58.771267,372.536377,249.99025,58.976299,377.995453,378.691345,56.964489,352.167694,372.285187,56.453835,0,0,61.742256,5.119503,60.724434,-21.515816,0.747192,1000,150
53,'2019/05/26 17:36:26:820',3,515.668152,325.675812,49.43903,399.258301,278.708618,60.733643,357.048737,273.038452,60.912659,372.832886,398.471191,53.664032,346.785034,392.180664,53.245232,0,0,62.006317,6.245306,51.503632,-22.075823,0.747192,1000,150
54,'2019/05/26 17:36:26:878',3,512.983032,326.015503,49.285358,397.838867,280.382813,60.906387,355.637878,274.698639,61.047882,371.73468,399.889313,53.551609,345.729309,393.571777,53.115147,0,0,62.456593,6.861886,51.1329,-22.345942,0.747192,1000,150
55,'2019/05/26 17:36:26:931',3,511.686279,326.880981,49.236153,396.889282,281.870911,61.015907,354.723602,276.119598,61.11705,370.550934,401.143005,53.438858,344.620575,394.770447,52.981762,0,0,62.751862,7.619309,50.905575,-22.523132,0.747192,1000,150
